OrderId,OrderDate,Customer,CustomerType,TotalAmount,ShippingDate,ClientDiscount,StoreItemName,Quantity,UnitPrice,TotalItemsPrice,Discount,TotalItemsPriceDiscounted
1,2024-10-02,Esref Pivcic (carrepairshop),Car Repair Shop,804.75,Pending,13.00%,EBC-Turbo,2,350.00,700.00,No item discount,700.00
1,2024-10-02,Esref Pivcic (carrepairshop),Car Repair Shop,804.75,Pending,13.00%,Monster-Motorsport,1,250.00,250.00,10.00%,225.00
2,2024-10-02,Esref Pivcic (carrepairshop),Car Repair Shop,1718.25,2024-10-02,13.00%,EBC-Turbo,5,350.00,1750.00,No item discount,1750.00
2,2024-10-02,Esref Pivcic (carrepairshop),Car Repair Shop,1718.25,2024-10-02,13.00%,Monster-Motorsport,1,250.00,250.00,10.00%,225.00
3,2024-10-02,Esref Pivcic (client),Client,1979.25,Pending,15.00%,OEM-R32 Brembo,4,400.00,1600.00,No item discount,1600.00
3,2024-10-02,Esref Pivcic (client),Client,1979.25,Pending,15.00%,Monster-Motorsport,3,250.00,750.00,10.00%,675.00
4,2024-10-02,Esref Pivcic (client),Client,1000.50,Pending,15.00%,OEM-R32 Brembo,2,400.00,800.00,No item discount,800.00
4,2024-10-02,Esref Pivcic (client),Client,1000.50,Pending,15.00%,EBC-Turbo,1,350.00,350.00,No item discount,350.00
5,2024-10-03,Esref Pivcic (carrepairshop),Car Repair Shop,804.75,Pending,13.00%,EBC-Turbo,2,350.00,700.00,No item discount,700.00
5,2024-10-03,Esref Pivcic (carrepairshop),Car Repair Shop,804.75,Pending,13.00%,Monster-Motorsport,1,250.00,250.00,10.00%,225.00
6,2024-10-03,Esref Pivcic (carrepairshop),Car Repair Shop,925.00,Pending,No client discount,EBC-Turbo,2,350.00,700.00,No item discount,700.00
6,2024-10-03,Esref Pivcic (carrepairshop),Car Repair Shop,925.00,Pending,No client discount,Monster-Motorsport,1,250.00,250.00,10.00%,225.00
7,2024-10-05,Esref Pivcic (carrepairshop),Car Repair Shop,575.00,Pending,No client discount,EBC-Turbo,1,350.00,350.00,No item discount,350.00
7,2024-10-05,Esref Pivcic (carrepairshop),Car Repair Shop,575.00,Pending,No client discount,Monster-Motorsport,1,250.00,250.00,10.00%,225.00
8,2024-10-05,Esref Pivcic (carrepairshop),Car Repair Shop,575.00,Pending,No client discount,Monster-Motorsport,1,250.00,250.00,10.00%,225.00
8,2024-10-05,Esref Pivcic (carrepairshop),Car Repair Shop,575.00,Pending,No client discount,EBC-Turbo,1,350.00,350.00,No item discount,350.00
9,2024-10-05,Esref Pivcic (carrepairshop),Car Repair Shop,575.00,Pending,No client discount,EBC-Turbo,1,350.00,350.00,No item discount,350.00
9,2024-10-05,Esref Pivcic (carrepairshop),Car Repair Shop,575.00,Pending,No client discount,Monster-Motorsport,1,250.00,250.00,10.00%,225.00
10,2024-10-05,Esref Pivcic (carrepairshop),Car Repair Shop,750.00,Pending,No client discount,EBC-Turbo,1,350.00,350.00,No item discount,350.00
10,2024-10-05,Esref Pivcic (carrepairshop),Car Repair Shop,750.00,Pending,No client discount,OEM-R32 Brembo,1,400.00,400.00,No item discount,400.00
11,2024-10-05,Esref Pivcic (carrepairshop),Car Repair Shop,30.00,Pending,No client discount,Test 1,1,20.00,20.00,No item discount,20.00
11,2024-10-05,Esref Pivcic (carrepairshop),Car Repair Shop,30.00,Pending,No client discount,Test 2,1,10.00,10.00,No item discount,10.00
12,2024-10-05,Esref Pivcic (carrepairshop),Car Repair Shop,245.00,Pending,No client discount,Test 1,1,20.00,20.00,No item discount,20.00
12,2024-10-05,Esref Pivcic (carrepairshop),Car Repair Shop,245.00,Pending,No client discount,Monster-Motorsport,1,250.00,250.00,10.00%,225.00
13,2024-10-05,Esref Pivcic (carrepairshop),Car Repair Shop,800.00,Pending,No client discount,EBC-Turbo,1,350.00,350.00,No item discount,350.00
13,2024-10-05,Esref Pivcic (carrepairshop),Car Repair Shop,800.00,Pending,No client discount,Monster-Motorsport,2,250.00,500.00,10.00%,450.00
14,2024-10-05,Esref Pivcic (carrepairshop),Car Repair Shop,750.00,Pending,No client discount,EBC-Turbo,1,350.00,350.00,No item discount,350.00
14,2024-10-05,Esref Pivcic (carrepairshop),Car Repair Shop,750.00,Pending,No client discount,OEM-R32 Brembo,1,400.00,400.00,No item discount,400.00
15,2024-10-05,Esref Pivcic (carrepairshop),Car Repair Shop,255.00,Pending,No client discount,Monster-Motorsport,1,250.00,250.00,10.00%,225.00
15,2024-10-05,Esref Pivcic (carrepairshop),Car Repair Shop,255.00,Pending,No client discount,Test 1,1,20.00,20.00,No item discount,20.00
15,2024-10-05,Esref Pivcic (carrepairshop),Car Repair Shop,255.00,Pending,No client discount,Test 2,1,10.00,10.00,No item discount,10.00
